"","Order.Date","date.var","Year","Month","Ship.Mode","Customer.Name","Segment","City","State","Category","Sub.Category","Sales"
"27",2017-01-16,4,"2017","Jan","Second Class","Eric Hoffmann","Consumer","Los Angeles","California","Technology","Accessories",90.57
"28",2016-09-17,4,"2016","Sep","Standard Class","Tracy Blumstein","Consumer","Philadelphia","Pennsylvania","Furniture","Bookcases",3083.43
"29",2016-09-17,4,"2016","Sep","Standard Class","Tracy Blumstein","Consumer","Philadelphia","Pennsylvania","Office Supplies","Binders",9.618
"30",2016-09-17,4,"2016","Sep","Standard Class","Tracy Blumstein","Consumer","Philadelphia","Pennsylvania","Furniture","Furnishings",124.2
"31",2016-09-17,4,"2016","Sep","Standard Class","Tracy Blumstein","Consumer","Philadelphia","Pennsylvania","Office Supplies","Envelopes",3.264
"32",2016-09-17,4,"2016","Sep","Standard Class","Tracy Blumstein","Consumer","Philadelphia","Pennsylvania","Office Supplies","Art",86.304
"33",2016-09-17,4,"2016","Sep","Standard Class","Tracy Blumstein","Consumer","Philadelphia","Pennsylvania","Office Supplies","Binders",6.858
"34",2016-09-17,4,"2016","Sep","Standard Class","Tracy Blumstein","Consumer","Philadelphia","Pennsylvania","Office Supplies","Art",15.76
"35",2018-10-19,4,"2018","Oct","Second Class","Matt Abelman","Home Office","Houston","Texas","Office Supplies","Paper",29.472
"36",2017-12-08,2,"2017","Dec","First Class","Gene Hale","Corporate","Richardson","Texas","Technology","Phones",1097.544
"37",2017-12-08,2,"2017","Dec","First Class","Gene Hale","Corporate","Richardson","Texas","Furniture","Furnishings",190.92
"38",2016-12-27,4,"2016","Dec","Standard Class","Steve Nguyen","Home Office","Houston","Texas","Office Supplies","Envelopes",113.328
"39",2016-12-27,4,"2016","Dec","Standard Class","Steve Nguyen","Home Office","Houston","Texas","Furniture","Bookcases",532.3992
"40",2016-12-27,4,"2016","Dec","Standard Class","Steve Nguyen","Home Office","Houston","Texas","Furniture","Chairs",212.058
"41",2016-12-27,4,"2016","Dec","Standard Class","Steve Nguyen","Home Office","Houston","Texas","Technology","Phones",371.168
"42",2018-09-10,5,"2018","Sep","Standard Class","Linda Cazamias","Corporate","Naperville","Illinois","Technology","Phones",147.168
"43",2017-07-17,5,"2017","Jul","Standard Class","Ruben Ausman","Corporate","Los Angeles","California","Office Supplies","Storage",77.88
"44",2018-09-19,4,"2018","Sep","Standard Class","Erin Smith","Corporate","Melbourne","Florida","Office Supplies","Storage",95.616
"45",2017-03-11,2,"2017","Mar","First Class","Odella Nelson","Corporate","Eagan","Minnesota","Technology","Accessories",45.98
"46",2017-03-11,2,"2017","Mar","First Class","Odella Nelson","Corporate","Eagan","Minnesota","Office Supplies","Binders",17.46
"47",2015-10-20,5,"2015","Oct","Second Class","Patrick O'Donnell","Consumer","Westland","Michigan","Office Supplies","Storage",211.96
"48",2017-06-20,5,"2017","Jun","Standard Class","Lena Hernandez","Consumer","Dover","Delaware","Technology","Accessories",45
"49",2017-06-20,5,"2017","Jun","Standard Class","Lena Hernandez","Consumer","Dover","Delaware","Technology","Phones",21.8
"50",2016-04-18,4,"2016","Apr","Standard Class","Darren Powers","Consumer","New Albany","Indiana","Office Supplies","Binders",38.22
"51",2016-04-18,4,"2016","Apr","Standard Class","Darren Powers","Consumer","New Albany","Indiana","Office Supplies","Labels",75.18
"52",2016-04-18,4,"2016","Apr","Standard Class","Darren Powers","Consumer","New Albany","Indiana","Furniture","Furnishings",6.16
"53",2016-04-18,4,"2016","Apr","Standard Class","Darren Powers","Consumer","New Albany","Indiana","Furniture","Chairs",89.99
"54",2017-12-11,6,"2017","Dec","Standard Class","Janet Molinari","Corporate","New York City","New York","Office Supplies","Fasteners",15.26
"55",2017-12-11,6,"2017","Dec","Standard Class","Janet Molinari","Corporate","New York City","New York","Technology","Phones",1029.95
"56",2017-06-17,1,"2017","Jun","First Class","Ted Butterfield","Consumer","Troy","New York","Office Supplies","Storage",208.56
"57",2017-06-17,1,"2017","Jun","First Class","Ted Butterfield","Consumer","Troy","New York","Office Supplies","Paper",32.4
"58",2017-06-17,1,"2017","Jun","First Class","Ted Butterfield","Consumer","Troy","New York","Furniture","Chairs",319.41
"59",2017-06-17,1,"2017","Jun","First Class","Ted Butterfield","Consumer","Troy","New York","Office Supplies","Paper",14.56
"60",2017-06-17,1,"2017","Jun","First Class","Ted Butterfield","Consumer","Troy","New York","Technology","Accessories",30
"61",2017-06-17,1,"2017","Jun","First Class","Ted Butterfield","Consumer","Troy","New York","Office Supplies","Binders",48.48
"62",2017-06-17,1,"2017","Jun","First Class","Ted Butterfield","Consumer","Troy","New York","Office Supplies","Art",1.68
"63",2016-11-24,6,"2016","Nov","Standard Class","Kunst Miller","Consumer","Los Angeles","California","Technology","Accessories",13.98
"64",2016-11-24,6,"2016","Nov","Standard Class","Kunst Miller","Consumer","Los Angeles","California","Office Supplies","Binders",25.824
"65",2016-11-24,6,"2016","Nov","Standard Class","Kunst Miller","Consumer","Los Angeles","California","Office Supplies","Paper",146.73
"66",2016-11-24,6,"2016","Nov","Standard Class","Kunst Miller","Consumer","Los Angeles","California","Furniture","Furnishings",79.76
"67",2016-04-30,5,"2016","May","Standard Class","Paul Stevenson","Home Office","Chicago","Illinois","Furniture","Chairs",213.115
"68",2015-12-05,5,"2015","Dec","Standard Class","Brendan Sweed","Corporate","Gilbert","Arizona","Office Supplies","Art",1113.024
"69",2015-12-05,5,"2015","Dec","Standard Class","Brendan Sweed","Corporate","Gilbert","Arizona","Technology","Phones",167.968
"70",2017-06-04,2,"2017","Jun","First Class","Karen Daniels","Consumer","Springfield","Virginia","Office Supplies","Paper",75.88
"71",2017-09-18,5,"2017","Sep","Standard Class","Henry MacAllister","Consumer","New York City","New York","Office Supplies","Binders",4.616
"72",2018-09-14,3,"2018","Sep","Second Class","Tracy Blumstein","Consumer","Jackson","Michigan","Office Supplies","Paper",19.05
"73",2016-04-26,6,"2016","May","Standard Class","Joel Eaton","Consumer","Memphis","Tennessee","Furniture","Chairs",831.936
"74",2016-04-26,6,"2016","May","Standard Class","Joel Eaton","Consumer","Memphis","Tennessee","Furniture","Furnishings",97.04
"75",2016-04-26,6,"2016","May","Standard Class","Joel Eaton","Consumer","Memphis","Tennessee","Office Supplies","Storage",72.784
"76",2018-12-09,2,"2018","Dec","First Class","Ken Brennan","Corporate","Houston","Texas","Office Supplies","Binders",1.248
"77",2018-12-09,2,"2018","Dec","First Class","Ken Brennan","Corporate","Houston","Texas","Furniture","Furnishings",9.708
"78",2018-12-09,2,"2018","Dec","First Class","Ken Brennan","Corporate","Houston","Texas","Office Supplies","Storage",27.24
"79",2015-11-26,5,"2015","Dec","Second Class","Joel Eaton","Consumer","Houston","Texas","Furniture","Furnishings",19.3
"80",2017-06-12,3,"2017","Jun","First Class","Stewart Carmichael","Corporate","Decatur","Alabama","Office Supplies","Appliances",208.16
"81",2017-06-12,3,"2017","Jun","First Class","Stewart Carmichael","Corporate","Decatur","Alabama","Office Supplies","Binders",16.74
"82",2015-10-12,4,"2015","Oct","Standard Class","Duane Noonan","Consumer","San Francisco","California","Office Supplies","Art",14.9
"83",2015-10-12,4,"2015","Oct","Standard Class","Duane Noonan","Consumer","San Francisco","California","Office Supplies","Storage",21.39
"84",2016-09-03,5,"2016","Sep","Standard Class","Julie Creighton","Corporate","Durham","North Carolina","Office Supplies","Envelopes",200.984
"85",2018-11-13,3,"2018","Nov","First Class","Christopher Schild","Home Office","Chicago","Illinois","Office Supplies","Storage",230.376
"86",2018-05-28,2,"2018","May","Second Class","Patrick O'Donnell","Consumer","Columbia","South Carolina","Furniture","Chairs",301.96
"87",2018-10-26,7,"2018","Nov","Standard Class","Paul Gonzalez","Consumer","Rochester","Minnesota","Technology","Accessories",19.99
"88",2018-10-26,7,"2018","Nov","Standard Class","Paul Gonzalez","Consumer","Rochester","Minnesota","Office Supplies","Labels",6.16
"89",2017-04-05,5,"2017","Apr","Second Class","Gary Mitchum","Home Office","Houston","Texas","Office Supplies","Storage",158.368
"90",2017-09-17,5,"2017","Sep","Standard Class","Jim Sink","Corporate","Los Angeles","California","Office Supplies","Art",20.1
"91",2017-09-17,5,"2017","Sep","Standard Class","Jim Sink","Corporate","Los Angeles","California","Technology","Phones",73.584
"92",2017-09-17,5,"2017","Sep","Standard Class","Jim Sink","Corporate","Los Angeles","California","Office Supplies","Paper",6.48
"93",2016-01-31,5,"2016","Feb","Second Class","Karl Braun","Consumer","Minneapolis","Minnesota","Office Supplies","Paper",12.96
"94",2016-01-31,5,"2016","Feb","Second Class","Karl Braun","Consumer","Minneapolis","Minnesota","Furniture","Furnishings",53.34
"95",2016-01-31,5,"2016","Feb","Second Class","Karl Braun","Consumer","Minneapolis","Minnesota","Office Supplies","Binders",32.96
"96",2018-11-06,6,"2018","Nov","Standard Class","Roger Barcio","Home Office","Portland","Oregon","Office Supplies","Binders",5.682
"97",2018-11-09,2,"2018","Nov","Second Class","Parhena Norris","Home Office","New York City","New York","Furniture","Furnishings",96.53
"98",2018-06-17,3,"2018","Jun","First Class","Katherine Ducich","Consumer","San Francisco","California","Office Supplies","Binders",51.312
"99",2017-09-06,5,"2017","Sep","Standard Class","Elpida Rittenbach","Corporate","Saint Paul","Minnesota","Office Supplies","Appliances",77.88
"100",2017-08-29,4,"2017","Sep","Standard Class","Rick Bensley","Home Office","Chicago","Illinois","Office Supplies","Paper",64.624
"101",2017-08-29,4,"2017","Sep","Standard Class","Rick Bensley","Home Office","Chicago","Illinois","Technology","Accessories",95.976
"102",2017-08-29,4,"2017","Sep","Standard Class","Rick Bensley","Home Office","Chicago","Illinois","Office Supplies","Binders",1.788
"103",2017-12-01,3,"2017","Dec","Second Class","Gary Zandusky","Consumer","Rochester","Minnesota","Office Supplies","Paper",23.92
"104",2016-11-13,4,"2016","Nov","Standard Class","Lena Cacioppo","Consumer","Aurora","Colorado","Technology","Accessories",238.896
"105",2016-11-13,4,"2016","Nov","Standard Class","Lena Cacioppo","Consumer","Aurora","Colorado","Furniture","Furnishings",102.36
"106",2016-11-13,4,"2016","Nov","Standard Class","Lena Cacioppo","Consumer","Aurora","Colorado","Office Supplies","Binders",36.882
"107",2018-11-23,5,"2018","Nov","Standard Class","Janet Martin","Consumer","Charlotte","North Carolina","Technology","Accessories",74.112
"108",2018-11-23,5,"2018","Nov","Standard Class","Janet Martin","Consumer","Charlotte","North Carolina","Technology","Phones",27.992
"109",2018-11-23,5,"2018","Nov","Standard Class","Janet Martin","Consumer","Charlotte","North Carolina","Office Supplies","Art",3.304
"110",2016-10-15,5,"2016","Oct","Standard Class","Pete Armstrong","Home Office","Orland Park","Illinois","Technology","Accessories",339.96
"111",2018-12-25,5,"2018","Dec","Standard Class","Cynthia Voltz","Corporate","New York City","New York","Furniture","Furnishings",41.96
"112",2017-11-03,7,"2017","Nov","Standard Class","Clay Ludtke","Consumer","Urbandale","Iowa","Office Supplies","Art",75.96
"113",2017-11-03,7,"2017","Nov","Standard Class","Clay Ludtke","Consumer","Urbandale","Iowa","Office Supplies","Binders",27.24
"114",2015-08-25,2,"2015","Aug","Second Class","Ryan Crowe","Consumer","Columbus","Ohio","Office Supplies","Fasteners",40.096
"115",2015-08-25,2,"2015","Aug","Second Class","Ryan Crowe","Consumer","Columbus","Ohio","Office Supplies","Envelopes",4.72
"116",2015-08-25,2,"2015","Aug","Second Class","Ryan Crowe","Consumer","Columbus","Ohio","Office Supplies","Paper",23.976
"117",2015-08-25,2,"2015","Aug","Second Class","Ryan Crowe","Consumer","Columbus","Ohio","Office Supplies","Envelopes",130.464
"118",2016-03-02,4,"2016","Mar","Standard Class","Dave Kipp","Consumer","Seattle","Washington","Furniture","Tables",787.53
"119",2016-04-05,5,"2016","Apr","Standard Class","Greg Guthrie","Corporate","Bristol","Tennessee","Office Supplies","Binders",157.794
"120",2017-06-12,3,"2017","Jun","First Class","Steven Cartwright","Consumer","Wilmington","Delaware","Furniture","Furnishings",47.04
"121",2017-06-12,3,"2017","Jun","First Class","Steven Cartwright","Consumer","Wilmington","Delaware","Office Supplies","Binders",30.84
"122",2017-06-12,3,"2017","Jun","First Class","Steven Cartwright","Consumer","Wilmington","Delaware","Office Supplies","Storage",226.56
"123",2017-06-12,3,"2017","Jun","First Class","Steven Cartwright","Consumer","Wilmington","Delaware","Office Supplies","Envelopes",115.02
"124",2017-06-12,3,"2017","Jun","First Class","Steven Cartwright","Consumer","Wilmington","Delaware","Technology","Phones",68.04
"125",2015-12-26,2,"2015","Dec","Second Class","Alan Dominguez","Home Office","Houston","Texas","Furniture","Chairs",600.558
"126",2015-09-20,5,"2015","Sep","Standard Class","Philip Fox","Consumer","Bloomington","Illinois","Furniture","Tables",617.7
"127",2018-11-05,7,"2018","Nov","Standard Class","Troy Staebel","Consumer","Phoenix","Arizona","Office Supplies","Binders",2.388
"128",2018-11-05,7,"2018","Nov","Standard Class","Troy Staebel","Consumer","Phoenix","Arizona","Office Supplies","Storage",243.992
"129",2017-11-06,4,"2017","Nov","Second Class","Lindsay Shagiari","Home Office","Los Angeles","California","Furniture","Chairs",81.424
"130",2017-11-06,4,"2017","Nov","Second Class","Lindsay Shagiari","Home Office","Los Angeles","California","Furniture","Furnishings",238.56
"131",2018-02-02,3,"2018","Feb","First Class","Dorothy Wardle","Corporate","Columbus","Ohio","Technology","Phones",59.97
"132",2018-02-02,3,"2018","Feb","First Class","Dorothy Wardle","Corporate","Columbus","Ohio","Office Supplies","Paper",78.304
"133",2018-02-02,3,"2018","Feb","First Class","Dorothy Wardle","Corporate","Columbus","Ohio","Office Supplies","Fasteners",21.456
"134",2017-10-13,6,"2017","Oct","Standard Class","Lena Creighton","Consumer","Roseville","California","Office Supplies","Paper",20.04
"135",2017-10-13,6,"2017","Oct","Standard Class","Lena Creighton","Consumer","Roseville","California","Office Supplies","Paper",35.44
"136",2017-10-13,6,"2017","Oct","Standard Class","Lena Creighton","Consumer","Roseville","California","Office Supplies","Art",11.52
"137",2017-10-13,6,"2017","Oct","Standard Class","Lena Creighton","Consumer","Roseville","California","Office Supplies","Fasteners",4.02
"138",2017-10-13,6,"2017","Oct","Standard Class","Lena Creighton","Consumer","Roseville","California","Office Supplies","Binders",76.176
"139",2017-10-13,6,"2017","Oct","Standard Class","Lena Creighton","Consumer","Roseville","California","Office Supplies","Supplies",65.88
"140",2017-10-13,6,"2017","Oct","Standard Class","Lena Creighton","Consumer","Roseville","California","Furniture","Furnishings",43.12
"141",2017-09-05,2,"2017","Sep","Second Class","Jonathan Doherty","Corporate","Philadelphia","Pennsylvania","Furniture","Furnishings",82.8
"142",2018-09-18,5,"2018","Sep","Standard Class","Sally Hughsby","Corporate","San Francisco","California","Office Supplies","Art",8.82
"143",2018-09-18,5,"2018","Sep","Standard Class","Sally Hughsby","Corporate","San Francisco","California","Office Supplies","Envelopes",10.86
"144",2018-09-18,5,"2018","Sep","Standard Class","Sally Hughsby","Corporate","San Francisco","California","Office Supplies","Paper",143.7
"145",2018-12-22,5,"2018","Dec","Standard Class","Sandra Glassco","Consumer","Independence","Missouri","Office Supplies","Appliances",839.43
"146",2016-09-07,5,"2016","Sep","Standard Class","Helen Andreada","Consumer","Pasadena","California","Office Supplies","Storage",671.93
"147",2015-10-22,6,"2015","Oct","Standard Class","Maureen Gastineau","Home Office","Newark","Ohio","Furniture","Furnishings",93.888
"148",2017-12-05,4,"2017","Dec","Standard Class","Justin Ellison","Corporate","Franklin","Wisconsin","Technology","Phones",384.45
"149",2017-12-05,4,"2017","Dec","Standard Class","Justin Ellison","Corporate","Franklin","Wisconsin","Technology","Phones",149.97
"150",2017-12-05,4,"2017","Dec","Standard Class","Justin Ellison","Corporate","Franklin","Wisconsin","Furniture","Chairs",1951.84
"151",2017-12-05,4,"2017","Dec","Standard Class","Justin Ellison","Corporate","Franklin","Wisconsin","Office Supplies","Binders",171.55
"152",2017-03-13,3,"2017","Mar","First Class","Tamara Willingham","Home Office","Scottsdale","Arizona","Office Supplies","Appliances",157.92
"153",2017-03-13,3,"2017","Mar","First Class","Tamara Willingham","Home Office","Scottsdale","Arizona","Technology","Phones",203.184
"154",2016-05-31,2,"2016","Jun","First Class","Stephanie Phelps","Corporate","San Jose","California","Office Supplies","Paper",58.38
"155",2016-05-31,2,"2016","Jun","First Class","Stephanie Phelps","Corporate","San Jose","California","Office Supplies","Paper",105.52
"156",2016-05-31,2,"2016","Jun","First Class","Stephanie Phelps","Corporate","San Jose","California","Office Supplies","Storage",80.88
"157",2016-05-28,6,"2016","Jun","Standard Class","Neil Knudson","Home Office","Seattle","Washington","Office Supplies","Art",6.63
"158",2015-03-01,5,"2015","Mar","Second Class","Dave Brooks","Consumer","Seattle","Washington","Furniture","Chairs",457.568
"159",2017-11-20,4,"2017","Nov","Standard Class","Nora Paige","Consumer","Edmond","Oklahoma","Office Supplies","Labels",14.62
"160",2017-11-20,4,"2017","Nov","Standard Class","Nora Paige","Consumer","Edmond","Oklahoma","Technology","Phones",944.93
"161",2017-05-11,1,"2017","May","First Class","Ted Trevino","Consumer","Los Angeles","California","Office Supplies","Paper",5.98
"162",2016-12-28,3,"2016","Dec","Second Class","Eric Murdock","Consumer","Philadelphia","Pennsylvania","Technology","Accessories",54.384
"163",2017-11-16,4,"2017","Nov","Standard Class","Ruben Dartt","Consumer","Carlsbad","New Mexico","Office Supplies","Envelopes",28.4
"164",2017-11-07,4,"2017","Nov","Standard Class","Max Jones","Consumer","Seattle","Washington","Office Supplies","Binders",27.68
"165",2015-09-08,4,"2015","Sep","Standard Class","Becky Martin","Consumer","San Antonio","Texas","Office Supplies","Art",9.936
"166",2015-09-08,4,"2015","Sep","Standard Class","Becky Martin","Consumer","San Antonio","Texas","Technology","Machines",8159.952
"167",2015-09-08,4,"2015","Sep","Standard Class","Becky Martin","Consumer","San Antonio","Texas","Office Supplies","Storage",275.928
"168",2015-09-08,4,"2015","Sep","Standard Class","Becky Martin","Consumer","San Antonio","Texas","Furniture","Chairs",1740.06
"169",2015-09-08,4,"2015","Sep","Standard Class","Becky Martin","Consumer","San Antonio","Texas","Office Supplies","Art",32.064
"170",2015-09-08,4,"2015","Sep","Standard Class","Becky Martin","Consumer","San Antonio","Texas","Office Supplies","Appliances",177.98
"171",2015-09-08,4,"2015","Sep","Standard Class","Becky Martin","Consumer","San Antonio","Texas","Technology","Phones",143.976
"172",2015-08-05,4,"2015","Aug","Standard Class","Chad Sievert","Consumer","Los Angeles","California","Office Supplies","Paper",20.94
"173",2015-08-05,4,"2015","Aug","Standard Class","Chad Sievert","Consumer","Los Angeles","California","Office Supplies","Paper",110.96
"174",2015-08-05,4,"2015","Aug","Standard Class","Chad Sievert","Consumer","Los Angeles","California","Furniture","Chairs",340.144
"175",2015-09-14,5,"2015","Sep","Standard Class","Jennifer Braxton","Corporate","Chicago","Illinois","Office Supplies","Appliances",52.448
"176",2015-09-14,5,"2015","Sep","Standard Class","Jennifer Braxton","Corporate","Chicago","Illinois","Office Supplies","Labels",20.16
"177",2018-04-21,4,"2018","Apr","Second Class","Shirley Jackson","Consumer","Houston","Texas","Office Supplies","Appliances",97.264
"178",2016-11-21,2,"2016","Nov","Second Class","Joel Eaton","Consumer","Newark","Ohio","Furniture","Chairs",396.802
"179",2016-11-21,2,"2016","Nov","Second Class","Joel Eaton","Consumer","Newark","Ohio","Office Supplies","Supplies",15.88
"180",2016-12-15,4,"2016","Dec","Standard Class","Jim Kriz","Home Office","New York City","New York","Office Supplies","Art",3.28
"181",2015-12-05,4,"2015","Dec","Second Class","David Kendrick","Corporate","Decatur","Illinois","Office Supplies","Storage",24.816
"182",2015-12-05,4,"2015","Dec","Second Class","David Kendrick","Corporate","Decatur","Illinois","Technology","Accessories",408.744
"183",2015-11-19,5,"2015","Nov","Second Class","Robert Marley","Home Office","Monroe","Louisiana","Technology","Phones",503.96
"184",2015-11-19,5,"2015","Nov","Second Class","Robert Marley","Home Office","Monroe","Louisiana","Technology","Phones",149.95
"185",2015-11-19,5,"2015","Nov","Second Class","Robert Marley","Home Office","Monroe","Louisiana","Technology","Accessories",29
"186",2017-11-28,4,"2017","Dec","Standard Class","Sally Knutson","Consumer","Fairfield","Connecticut","Office Supplies","Binders",7.16
"187",2015-08-26,4,"2015","Aug","Standard Class","Frank Merwin","Home Office","Los Angeles","California","Technology","Accessories",176.8
"188",2017-07-16,6,"2017","Jul","Standard Class","Alice McCarthy","Corporate","Grand Prairie","Texas","Office Supplies","Storage",37.224
"189",2017-07-16,6,"2017","Jul","Standard Class","Alice McCarthy","Corporate","Grand Prairie","Texas","Office Supplies","Paper",20.016
"190",2016-10-12,2,"2016","Oct","First Class","Mark Packer","Home Office","New York City","New York","Furniture","Bookcases",899.136
"191",2016-10-12,2,"2016","Oct","First Class","Mark Packer","Home Office","New York City","New York","Technology","Phones",71.76
"192",2016-10-12,2,"2016","Oct","First Class","Mark Packer","Home Office","New York City","New York","Office Supplies","Paper",51.84
"193",2016-10-12,2,"2016","Oct","First Class","Mark Packer","Home Office","New York City","New York","Furniture","Bookcases",626.352
"194",2016-10-12,2,"2016","Oct","First Class","Mark Packer","Home Office","New York City","New York","Office Supplies","Art",19.9
"195",2016-10-31,6,"2016","Nov","Standard Class","Mary Zewe","Corporate","Redlands","California","Office Supplies","Envelopes",14.28
"196",2015-03-21,4,"2015","Mar","Standard Class","Cassandra Brandow","Consumer","Hamilton","Ohio","Office Supplies","Art",7.408
"197",2015-03-21,4,"2015","Mar","Standard Class","Cassandra Brandow","Consumer","Hamilton","Ohio","Office Supplies","Art",6.048
"198",2018-11-06,7,"2018","Nov","Standard Class","Valerie Mitchum","Home Office","Westfield","New Jersey","Office Supplies","Storage",46.26
"199",2018-07-06,7,"2018","Jul","Standard Class","Fred Hopkins","Corporate","Philadelphia","Pennsylvania","Office Supplies","Binders",2.946
"200",2018-07-06,7,"2018","Jul","Standard Class","Fred Hopkins","Corporate","Philadelphia","Pennsylvania","Office Supplies","Paper",16.056
"201",2018-06-24,5,"2018","Jun","Standard Class","Maria Bertelson","Consumer","Akron","Ohio","Office Supplies","Paper",21.744
"202",2015-08-03,2,"2015","Aug","First Class","Bruce Stewart","Consumer","Denver","Colorado","Furniture","Tables",218.75
"203",2015-08-03,2,"2015","Aug","First Class","Bruce Stewart","Consumer","Denver","Colorado","Office Supplies","Appliances",2.6
"204",2018-12-17,4,"2018","Dec","Second Class","Logan Currie","Consumer","Dallas","Texas","Office Supplies","Appliances",66.284
"205",2018-06-03,4,"2018","Jun","Standard Class","Heather Kirkland","Corporate","Franklin","Tennessee","Furniture","Furnishings",35.168
"206",2018-12-09,5,"2018","Dec","Standard Class","Laurel Elliston","Consumer","Whittier","California","Technology","Phones",444.768
"207",2018-12-01,6,"2018","Dec","Standard Class","Joseph Holt","Consumer","Saginaw","Michigan","Office Supplies","Storage",83.92
"208",2018-12-01,6,"2018","Dec","Standard Class","Joseph Holt","Consumer","Saginaw","Michigan","Technology","Phones",131.98
"209",2018-12-01,6,"2018","Dec","Standard Class","Joseph Holt","Consumer","Saginaw","Michigan","Office Supplies","Binders",15.92
"210",2018-12-01,6,"2018","Dec","Standard Class","Joseph Holt","Consumer","Saginaw","Michigan","Office Supplies","Fasteners",52.29
"211",2018-12-01,6,"2018","Dec","Standard Class","Joseph Holt","Consumer","Saginaw","Michigan","Office Supplies","Storage",91.99
"212",2016-02-09,4,"2016","Feb","Second Class","Michael Stewart","Corporate","Dallas","Texas","Technology","Accessories",20.8
"213",2016-01-02,7,"2016","Jan","Standard Class","Victoria Wilson","Corporate","Medina","Ohio","Office Supplies","Labels",23.68
"214",2016-01-02,7,"2016","Jan","Standard Class","Victoria Wilson","Corporate","Medina","Ohio","Furniture","Bookcases",452.45
"215",2016-01-02,7,"2016","Jan","Standard Class","Victoria Wilson","Corporate","Medina","Ohio","Technology","Phones",62.982
"216",2016-01-02,7,"2016","Jan","Standard Class","Victoria Wilson","Corporate","Medina","Ohio","Technology","Machines",1188
"217",2016-01-02,7,"2016","Jan","Standard Class","Victoria Wilson","Corporate","Medina","Ohio","Technology","Accessories",89.584
"218",2017-10-28,4,"2017","Nov","Standard Class","Jonathan Howell","Consumer","Los Angeles","California","Office Supplies","Storage",93.06
"219",2017-10-28,4,"2017","Nov","Standard Class","Jonathan Howell","Consumer","Los Angeles","California","Technology","Phones",302.376
