"","Order.Date","Ship.Date","date.var","Year","Month","Ship.Mode","Customer.Name","Segment","Country","City","State","Postal.Code","Region","Product.ID","Category","Sub.Category","Product.Name","Sales"
"12",2015-06-09,2015-06-14,5,"2015","Jun","Standard Class","Brosina Hoffman","Consumer","United States","Los Angeles","California",90032,"West","TEC-PH-10002033","Technology","Phones","Konftel 250 Conference phone - Charcoal black",911.424
"13",2018-04-15,2018-04-20,5,"2018","Apr","Standard Class","Andrew Allen","Consumer","United States","Concord","North Carolina",28027,"South","OFF-PA-10002365","Office Supplies","Paper","Xerox 1967",15.552
"14",2017-12-05,2017-12-10,5,"2017","Dec","Standard Class","Irene Maddox","Consumer","United States","Seattle","Washington",98103,"West","OFF-BI-10003656","Office Supplies","Binders","Fellowes PB200 Plastic Comb Binding Machine",407.976
"15",2016-11-22,2016-11-26,4,"2016","Nov","Standard Class","Harold Pawlan","Home Office","United States","Fort Worth","Texas",76106,"Central","OFF-AP-10002311","Office Supplies","Appliances","Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81
"16",2016-11-22,2016-11-26,4,"2016","Nov","Standard Class","Harold Pawlan","Home Office","United States","Fort Worth","Texas",76106,"Central","OFF-BI-10000756","Office Supplies","Binders","Storex DuraTech Recycled Plastic Frosted Binders",2.544
"17",2015-11-11,2015-11-18,7,"2015","Nov","Standard Class","Pete Kriz","Consumer","United States","Madison","Wisconsin",53711,"Central","OFF-ST-10004186","Office Supplies","Storage","Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88
"18",2015-05-13,2015-05-15,2,"2015","May","Second Class","Alejandro Grove","Consumer","United States","West Jordan","Utah",84084,"West","OFF-ST-10000107","Office Supplies","Storage","Fellowes Super Stor/Drawer",55.5
"19",2015-08-27,2015-09-01,5,"2015","Sep","Second Class","Zuschuss Donatelli","Consumer","United States","San Francisco","California",94109,"West","OFF-AR-10003056","Office Supplies","Art","Newell 341",8.56
"20",2015-08-27,2015-09-01,5,"2015","Sep","Second Class","Zuschuss Donatelli","Consumer","United States","San Francisco","California",94109,"West","TEC-PH-10001949","Technology","Phones","Cisco SPA 501G IP Phone",213.48
"21",2015-08-27,2015-09-01,5,"2015","Sep","Second Class","Zuschuss Donatelli","Consumer","United States","San Francisco","California",94109,"West","OFF-BI-10002215","Office Supplies","Binders","Wilson Jones Hanging View Binder, White, 1""",22.72
"22",2017-12-09,2017-12-13,4,"2017","Dec","Standard Class","Ken Black","Corporate","United States","Fremont","Nebraska",68025,"Central","OFF-AR-10000246","Office Supplies","Art","Newell 318",19.46
"23",2017-12-09,2017-12-13,4,"2017","Dec","Standard Class","Ken Black","Corporate","United States","Fremont","Nebraska",68025,"Central","OFF-AP-10001492","Office Supplies","Appliances","Acco Six-Outlet Power Strip, 4' Cord Length",60.34
"24",2018-07-16,2018-07-18,2,"2018","Jul","Second Class","Sandra Flanagan","Consumer","United States","Philadelphia","Pennsylvania",19140,"East","FUR-CH-10002774","Furniture","Chairs","Global Deluxe Stacking Chair, Gray",71.372
"25",2016-09-25,2016-09-30,5,"2016","Sep","Standard Class","Emily Burns","Consumer","United States","Orem","Utah",84057,"West","FUR-TA-10000577","Furniture","Tables","Bretford CR4500 Series Slim Rectangular Table",1044.63
"26",2017-01-16,2017-01-20,4,"2017","Jan","Second Class","Eric Hoffmann","Consumer","United States","Los Angeles","California",90049,"West","OFF-BI-10001634","Office Supplies","Binders","Wilson Jones Active Use Binders",11.648
"27",2017-01-16,2017-01-20,4,"2017","Jan","Second Class","Eric Hoffmann","Consumer","United States","Los Angeles","California",90049,"West","TEC-AC-10003027","Technology","Accessories","Imation 8GB Mini TravelDrive USB 2.0 Flash Drive",90.57
"28",2016-09-17,2016-09-21,4,"2016","Sep","Standard Class","Tracy Blumstein","Consumer","United States","Philadelphia","Pennsylvania",19140,"East","FUR-BO-10004834","Furniture","Bookcases","Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43
"29",2016-09-17,2016-09-21,4,"2016","Sep","Standard Class","Tracy Blumstein","Consumer","United States","Philadelphia","Pennsylvania",19140,"East","OFF-BI-10000474","Office Supplies","Binders","Avery Recycled Flexi-View Covers for Binding Systems",9.618
"30",2016-09-17,2016-09-21,4,"2016","Sep","Standard Class","Tracy Blumstein","Consumer","United States","Philadelphia","Pennsylvania",19140,"East","FUR-FU-10004848","Furniture","Furnishings","Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2
"31",2016-09-17,2016-09-21,4,"2016","Sep","Standard Class","Tracy Blumstein","Consumer","United States","Philadelphia","Pennsylvania",19140,"East","OFF-EN-10001509","Office Supplies","Envelopes","Poly String Tie Envelopes",3.264
"32",2016-09-17,2016-09-21,4,"2016","Sep","Standard Class","Tracy Blumstein","Consumer","United States","Philadelphia","Pennsylvania",19140,"East","OFF-AR-10004042","Office Supplies","Art","BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304
"33",2016-09-17,2016-09-21,4,"2016","Sep","Standard Class","Tracy Blumstein","Consumer","United States","Philadelphia","Pennsylvania",19140,"East","OFF-BI-10001525","Office Supplies","Binders","Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858
"34",2016-09-17,2016-09-21,4,"2016","Sep","Standard Class","Tracy Blumstein","Consumer","United States","Philadelphia","Pennsylvania",19140,"East","OFF-AR-10001683","Office Supplies","Art","Lumber Crayons",15.76
"35",2018-10-19,2018-10-23,4,"2018","Oct","Second Class","Matt Abelman","Home Office","United States","Houston","Texas",77095,"Central","OFF-PA-10000249","Office Supplies","Paper","Easy-staple paper",29.472
"36",2017-12-08,2017-12-10,2,"2017","Dec","First Class","Gene Hale","Corporate","United States","Richardson","Texas",75080,"Central","TEC-PH-10004977","Technology","Phones","GE 30524EE4",1097.544
"37",2017-12-08,2017-12-10,2,"2017","Dec","First Class","Gene Hale","Corporate","United States","Richardson","Texas",75080,"Central","FUR-FU-10003664","Furniture","Furnishings","Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92
"38",2016-12-27,2016-12-31,4,"2016","Dec","Standard Class","Steve Nguyen","Home Office","United States","Houston","Texas",77041,"Central","OFF-EN-10002986","Office Supplies","Envelopes","#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328
"39",2016-12-27,2016-12-31,4,"2016","Dec","Standard Class","Steve Nguyen","Home Office","United States","Houston","Texas",77041,"Central","FUR-BO-10002545","Furniture","Bookcases","Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992
"40",2016-12-27,2016-12-31,4,"2016","Dec","Standard Class","Steve Nguyen","Home Office","United States","Houston","Texas",77041,"Central","FUR-CH-10004218","Furniture","Chairs","Global Fabric Manager's Chair, Dark Gray",212.058
"41",2016-12-27,2016-12-31,4,"2016","Dec","Standard Class","Steve Nguyen","Home Office","United States","Houston","Texas",77041,"Central","TEC-PH-10000486","Technology","Phones","Plantronics HL10 Handset Lifter",371.168
"42",2018-09-10,2018-09-15,5,"2018","Sep","Standard Class","Linda Cazamias","Corporate","United States","Naperville","Illinois",60540,"Central","TEC-PH-10004093","Technology","Phones","Panasonic Kx-TS550",147.168
"43",2017-07-17,2017-07-22,5,"2017","Jul","Standard Class","Ruben Ausman","Corporate","United States","Los Angeles","California",90049,"West","OFF-ST-10003479","Office Supplies","Storage","Eldon Base for stackable storage shelf, platinum",77.88
"44",2018-09-19,2018-09-23,4,"2018","Sep","Standard Class","Erin Smith","Corporate","United States","Melbourne","Florida",32935,"South","OFF-ST-10003282","Office Supplies","Storage","Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616
"45",2017-03-11,2017-03-13,2,"2017","Mar","First Class","Odella Nelson","Corporate","United States","Eagan","Minnesota",55122,"Central","TEC-AC-10000171","Technology","Accessories","Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98
"46",2017-03-11,2017-03-13,2,"2017","Mar","First Class","Odella Nelson","Corporate","United States","Eagan","Minnesota",55122,"Central","OFF-BI-10003291","Office Supplies","Binders","Wilson Jones Leather-Like Binders with DublLock Round Rings",17.46
"47",2015-10-20,2015-10-25,5,"2015","Oct","Second Class","Patrick O'Donnell","Consumer","United States","Westland","Michigan",48185,"Central","OFF-ST-10001713","Office Supplies","Storage","Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96
"48",2017-06-20,2017-06-25,5,"2017","Jun","Standard Class","Lena Hernandez","Consumer","United States","Dover","Delaware",19901,"East","TEC-AC-10002167","Technology","Accessories","Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive",45
"49",2017-06-20,2017-06-25,5,"2017","Jun","Standard Class","Lena Hernandez","Consumer","United States","Dover","Delaware",19901,"East","TEC-PH-10003988","Technology","Phones","LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8
"50",2016-04-18,2016-04-22,4,"2016","Apr","Standard Class","Darren Powers","Consumer","United States","New Albany","Indiana",47150,"Central","OFF-BI-10004410","Office Supplies","Binders","C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22
"51",2016-04-18,2016-04-22,4,"2016","Apr","Standard Class","Darren Powers","Consumer","United States","New Albany","Indiana",47150,"Central","OFF-LA-10002762","Office Supplies","Labels","Avery 485",75.18
"52",2016-04-18,2016-04-22,4,"2016","Apr","Standard Class","Darren Powers","Consumer","United States","New Albany","Indiana",47150,"Central","FUR-FU-10001706","Furniture","Furnishings","Longer-Life Soft White Bulbs",6.16
"53",2016-04-18,2016-04-22,4,"2016","Apr","Standard Class","Darren Powers","Consumer","United States","New Albany","Indiana",47150,"Central","FUR-CH-10003061","Furniture","Chairs","Global Leather Task Chair, Black",89.99
"54",2017-12-11,2017-12-17,6,"2017","Dec","Standard Class","Janet Molinari","Corporate","United States","New York City","New York",10024,"East","OFF-FA-10000304","Office Supplies","Fasteners","Advantus Push Pins",15.26
"55",2017-12-11,2017-12-17,6,"2017","Dec","Standard Class","Janet Molinari","Corporate","United States","New York City","New York",10024,"East","TEC-PH-10002447","Technology","Phones","AT&T CL83451 4-Handset Telephone",1029.95
"56",2017-06-17,2017-06-18,1,"2017","Jun","First Class","Ted Butterfield","Consumer","United States","Troy","New York",12180,"East","OFF-ST-10000604","Office Supplies","Storage","Home/Office Personal File Carts",208.56
"57",2017-06-17,2017-06-18,1,"2017","Jun","First Class","Ted Butterfield","Consumer","United States","Troy","New York",12180,"East","OFF-PA-10001569","Office Supplies","Paper","Xerox 232",32.4
"58",2017-06-17,2017-06-18,1,"2017","Jun","First Class","Ted Butterfield","Consumer","United States","Troy","New York",12180,"East","FUR-CH-10003968","Furniture","Chairs","Novimex Turbo Task Chair",319.41
"59",2017-06-17,2017-06-18,1,"2017","Jun","First Class","Ted Butterfield","Consumer","United States","Troy","New York",12180,"East","OFF-PA-10000587","Office Supplies","Paper","Array Parchment Paper, Assorted Colors",14.56
"60",2017-06-17,2017-06-18,1,"2017","Jun","First Class","Ted Butterfield","Consumer","United States","Troy","New York",12180,"East","TEC-AC-10002167","Technology","Accessories","Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive",30
"61",2017-06-17,2017-06-18,1,"2017","Jun","First Class","Ted Butterfield","Consumer","United States","Troy","New York",12180,"East","OFF-BI-10001460","Office Supplies","Binders","Plastic Binding Combs",48.48
"62",2017-06-17,2017-06-18,1,"2017","Jun","First Class","Ted Butterfield","Consumer","United States","Troy","New York",12180,"East","OFF-AR-10001868","Office Supplies","Art","Prang Dustless Chalk Sticks",1.68
"63",2016-11-24,2016-11-30,6,"2016","Nov","Standard Class","Kunst Miller","Consumer","United States","Los Angeles","California",90004,"West","TEC-AC-10004633","Technology","Accessories","Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98
"64",2016-11-24,2016-11-30,6,"2016","Nov","Standard Class","Kunst Miller","Consumer","United States","Los Angeles","California",90004,"West","OFF-BI-10001078","Office Supplies","Binders","Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824
"65",2016-11-24,2016-11-30,6,"2016","Nov","Standard Class","Kunst Miller","Consumer","United States","Los Angeles","California",90004,"West","OFF-PA-10003892","Office Supplies","Paper","Xerox 1943",146.73
"66",2016-11-24,2016-11-30,6,"2016","Nov","Standard Class","Kunst Miller","Consumer","United States","Los Angeles","California",90004,"West","FUR-FU-10000397","Furniture","Furnishings","Luxo Economy Swing Arm Lamp",79.76
"67",2016-04-30,2016-05-05,5,"2016","May","Standard Class","Paul Stevenson","Home Office","United States","Chicago","Illinois",60610,"Central","FUR-CH-10001146","Furniture","Chairs","Global Value Mid-Back Manager's Chair, Gray",213.115
"68",2015-12-05,2015-12-10,5,"2015","Dec","Standard Class","Brendan Sweed","Corporate","United States","Gilbert","Arizona",85234,"West","OFF-AR-10002671","Office Supplies","Art","Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024
"69",2015-12-05,2015-12-10,5,"2015","Dec","Standard Class","Brendan Sweed","Corporate","United States","Gilbert","Arizona",85234,"West","TEC-PH-10002726","Technology","Phones","netTALK DUO VoIP Telephone Service",167.968
"70",2017-06-04,2017-06-06,2,"2017","Jun","First Class","Karen Daniels","Consumer","United States","Springfield","Virginia",22153,"South","OFF-PA-10000482","Office Supplies","Paper","Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88
"71",2017-09-18,2017-09-23,5,"2017","Sep","Standard Class","Henry MacAllister","Consumer","United States","New York City","New York",10009,"East","OFF-BI-10004654","Office Supplies","Binders","Avery Binding System Hidden Tab Executive Style Index Sets",4.616
"72",2018-09-14,2018-09-17,3,"2018","Sep","Second Class","Tracy Blumstein","Consumer","United States","Jackson","Michigan",49201,"Central","OFF-PA-10004675","Office Supplies","Paper","Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05
"73",2016-04-26,2016-05-02,6,"2016","May","Standard Class","Joel Eaton","Consumer","United States","Memphis","Tennessee",38109,"South","FUR-CH-10000513","Furniture","Chairs","High-Back Leather Manager's Chair",831.936
"74",2016-04-26,2016-05-02,6,"2016","May","Standard Class","Joel Eaton","Consumer","United States","Memphis","Tennessee",38109,"South","FUR-FU-10003708","Furniture","Furnishings","Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04
"75",2016-04-26,2016-05-02,6,"2016","May","Standard Class","Joel Eaton","Consumer","United States","Memphis","Tennessee",38109,"South","OFF-ST-10004123","Office Supplies","Storage","Safco Industrial Wire Shelving System",72.784
"76",2018-12-09,2018-12-11,2,"2018","Dec","First Class","Ken Brennan","Corporate","United States","Houston","Texas",77041,"Central","OFF-BI-10004182","Office Supplies","Binders","Economy Binders",1.248
"77",2018-12-09,2018-12-11,2,"2018","Dec","First Class","Ken Brennan","Corporate","United States","Houston","Texas",77041,"Central","FUR-FU-10000260","Furniture","Furnishings","6"" Cubicle Wall Clock, Black",9.708
"78",2018-12-09,2018-12-11,2,"2018","Dec","First Class","Ken Brennan","Corporate","United States","Houston","Texas",77041,"Central","OFF-ST-10000615","Office Supplies","Storage","SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24
"79",2015-11-26,2015-12-01,5,"2015","Dec","Second Class","Joel Eaton","Consumer","United States","Houston","Texas",77070,"Central","FUR-FU-10003194","Furniture","Furnishings","Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3
"80",2017-06-12,2017-06-15,3,"2017","Jun","First Class","Stewart Carmichael","Corporate","United States","Decatur","Alabama",35601,"South","OFF-AP-10002118","Office Supplies","Appliances","1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16
"81",2017-06-12,2017-06-15,3,"2017","Jun","First Class","Stewart Carmichael","Corporate","United States","Decatur","Alabama",35601,"South","OFF-BI-10002309","Office Supplies","Binders","Avery Heavy-Duty EZD  Binder With Locking Rings",16.74
"82",2015-10-12,2015-10-16,4,"2015","Oct","Standard Class","Duane Noonan","Consumer","United States","San Francisco","California",94122,"West","OFF-AR-10002053","Office Supplies","Art","Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9
"83",2015-10-12,2015-10-16,4,"2015","Oct","Standard Class","Duane Noonan","Consumer","United States","San Francisco","California",94122,"West","OFF-ST-10002370","Office Supplies","Storage","Sortfiler Multipurpose Personal File Organizer, Black",21.39
"84",2016-09-03,2016-09-08,5,"2016","Sep","Standard Class","Julie Creighton","Corporate","United States","Durham","North Carolina",27707,"South","OFF-EN-10000927","Office Supplies","Envelopes","Jet-Pak Recycled Peel 'N' Seal Padded Mailers",200.984
"85",2018-11-13,2018-11-16,3,"2018","Nov","First Class","Christopher Schild","Home Office","United States","Chicago","Illinois",60623,"Central","OFF-ST-10003656","Office Supplies","Storage","Safco Industrial Wire Shelving",230.376
"86",2018-05-28,2018-05-30,2,"2018","May","Second Class","Patrick O'Donnell","Consumer","United States","Columbia","South Carolina",29203,"South","FUR-CH-10000863","Furniture","Chairs","Novimex Swivel Fabric Task Chair",301.96
"87",2018-10-26,2018-11-02,7,"2018","Nov","Standard Class","Paul Gonzalez","Consumer","United States","Rochester","Minnesota",55901,"Central","TEC-AC-10001998","Technology","Accessories","Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired",19.99
"88",2018-10-26,2018-11-02,7,"2018","Nov","Standard Class","Paul Gonzalez","Consumer","United States","Rochester","Minnesota",55901,"Central","OFF-LA-10000134","Office Supplies","Labels","Avery 511",6.16
"89",2017-04-05,2017-04-10,5,"2017","Apr","Second Class","Gary Mitchum","Home Office","United States","Houston","Texas",77095,"Central","OFF-ST-10003442","Office Supplies","Storage","Eldon Portable Mobile Manager",158.368
"90",2017-09-17,2017-09-22,5,"2017","Sep","Standard Class","Jim Sink","Corporate","United States","Los Angeles","California",90036,"West","OFF-AR-10004930","Office Supplies","Art","Turquoise Lead Holder with Pocket Clip",20.1
"91",2017-09-17,2017-09-22,5,"2017","Sep","Standard Class","Jim Sink","Corporate","United States","Los Angeles","California",90036,"West","TEC-PH-10004093","Technology","Phones","Panasonic Kx-TS550",73.584
"92",2017-09-17,2017-09-22,5,"2017","Sep","Standard Class","Jim Sink","Corporate","United States","Los Angeles","California",90036,"West","OFF-PA-10000304","Office Supplies","Paper","Xerox 1995",6.48
"93",2016-01-31,2016-02-05,5,"2016","Feb","Second Class","Karl Braun","Consumer","United States","Minneapolis","Minnesota",55407,"Central","OFF-PA-10003177","Office Supplies","Paper","Xerox 1999",12.96
"94",2016-01-31,2016-02-05,5,"2016","Feb","Second Class","Karl Braun","Consumer","United States","Minneapolis","Minnesota",55407,"Central","FUR-FU-10003799","Furniture","Furnishings","Seth Thomas 13 1/2"" Wall Clock",53.34
"95",2016-01-31,2016-02-05,5,"2016","Feb","Second Class","Karl Braun","Consumer","United States","Minneapolis","Minnesota",55407,"Central","OFF-BI-10002852","Office Supplies","Binders","Ibico Standard Transparent Covers",32.96
"96",2018-11-06,2018-11-12,6,"2018","Nov","Standard Class","Roger Barcio","Home Office","United States","Portland","Oregon",97206,"West","OFF-BI-10004738","Office Supplies","Binders","Flexible Leather- Look Classic Collection Ring Binder",5.682
"97",2018-11-09,2018-11-11,2,"2018","Nov","Second Class","Parhena Norris","Home Office","United States","New York City","New York",10009,"East","FUR-FU-10000629","Furniture","Furnishings","9-3/4 Diameter Round Wall Clock",96.53
"98",2018-06-17,2018-06-20,3,"2018","Jun","First Class","Katherine Ducich","Consumer","United States","San Francisco","California",94122,"West","OFF-BI-10001721","Office Supplies","Binders","Trimflex Flexible Post Binders",51.312
"99",2017-09-06,2017-09-11,5,"2017","Sep","Standard Class","Elpida Rittenbach","Corporate","United States","Saint Paul","Minnesota",55106,"Central","OFF-AP-10000358","Office Supplies","Appliances","Fellowes Basic Home/Office Series Surge Protectors",77.88
"100",2017-08-29,2017-09-02,4,"2017","Sep","Standard Class","Rick Bensley","Home Office","United States","Chicago","Illinois",60610,"Central","OFF-PA-10003256","Office Supplies","Paper","Avery Personal Creations Heavyweight Cards",64.624
"101",2017-08-29,2017-09-02,4,"2017","Sep","Standard Class","Rick Bensley","Home Office","United States","Chicago","Illinois",60610,"Central","TEC-AC-10001767","Technology","Accessories","SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card",95.976
"102",2017-08-29,2017-09-02,4,"2017","Sep","Standard Class","Rick Bensley","Home Office","United States","Chicago","Illinois",60610,"Central","OFF-BI-10002609","Office Supplies","Binders","Avery Hidden Tab Dividers for Binding Systems",1.788
"103",2017-12-01,2017-12-04,3,"2017","Dec","Second Class","Gary Zandusky","Consumer","United States","Rochester","Minnesota",55901,"Central","OFF-PA-10004040","Office Supplies","Paper","Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright)",23.92
"104",2016-11-13,2016-11-17,4,"2016","Nov","Standard Class","Lena Cacioppo","Consumer","United States","Aurora","Colorado",80013,"West","TEC-AC-10001552","Technology","Accessories","Logitech K350 2.4Ghz Wireless Keyboard",238.896
"105",2016-11-13,2016-11-17,4,"2016","Nov","Standard Class","Lena Cacioppo","Consumer","United States","Aurora","Colorado",80013,"West","FUR-FU-10004006","Furniture","Furnishings","Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36
"106",2016-11-13,2016-11-17,4,"2016","Nov","Standard Class","Lena Cacioppo","Consumer","United States","Aurora","Colorado",80013,"West","OFF-BI-10002794","Office Supplies","Binders","Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882
"107",2018-11-23,2018-11-28,5,"2018","Nov","Standard Class","Janet Martin","Consumer","United States","Charlotte","North Carolina",28205,"South","TEC-AC-10003499","Technology","Accessories","Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive",74.112
"108",2018-11-23,2018-11-28,5,"2018","Nov","Standard Class","Janet Martin","Consumer","United States","Charlotte","North Carolina",28205,"South","TEC-PH-10002844","Technology","Phones","Speck Products Candyshell Flip Case",27.992
"109",2018-11-23,2018-11-28,5,"2018","Nov","Standard Class","Janet Martin","Consumer","United States","Charlotte","North Carolina",28205,"South","OFF-AR-10000390","Office Supplies","Art","Newell Chalk Holder",3.304
"110",2016-10-15,2016-10-20,5,"2016","Oct","Standard Class","Pete Armstrong","Home Office","United States","Orland Park","Illinois",60462,"Central","TEC-AC-10000844","Technology","Accessories","Logitech Gaming G510s - Keyboard",339.96
"111",2018-12-25,2018-12-30,5,"2018","Dec","Standard Class","Cynthia Voltz","Corporate","United States","New York City","New York",10035,"East","FUR-FU-10001934","Furniture","Furnishings","Magnifier Swing Arm Lamp",41.96
"112",2017-11-03,2017-11-10,7,"2017","Nov","Standard Class","Clay Ludtke","Consumer","United States","Urbandale","Iowa",50322,"Central","OFF-AR-10000380","Office Supplies","Art","Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96
"113",2017-11-03,2017-11-10,7,"2017","Nov","Standard Class","Clay Ludtke","Consumer","United States","Urbandale","Iowa",50322,"Central","OFF-BI-10003981","Office Supplies","Binders","Avery Durable Plastic 1"" Binders",27.24
"114",2015-08-25,2015-08-27,2,"2015","Aug","Second Class","Ryan Crowe","Consumer","United States","Columbus","Ohio",43229,"East","OFF-FA-10000621","Office Supplies","Fasteners","OIC Colored Binder Clips, Assorted Sizes",40.096
"115",2015-08-25,2015-08-27,2,"2015","Aug","Second Class","Ryan Crowe","Consumer","United States","Columbus","Ohio",43229,"East","OFF-EN-10002600","Office Supplies","Envelopes","Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72
"116",2015-08-25,2015-08-27,2,"2015","Aug","Second Class","Ryan Crowe","Consumer","United States","Columbus","Ohio",43229,"East","OFF-PA-10004965","Office Supplies","Paper","Xerox 1921",23.976
"117",2015-08-25,2015-08-27,2,"2015","Aug","Second Class","Ryan Crowe","Consumer","United States","Columbus","Ohio",43229,"East","OFF-EN-10002504","Office Supplies","Envelopes","Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464
"118",2016-03-02,2016-03-06,4,"2016","Mar","Standard Class","Dave Kipp","Consumer","United States","Seattle","Washington",98103,"West","FUR-TA-10001768","Furniture","Tables","Hon Racetrack Conference Tables",787.53
"119",2016-04-05,2016-04-10,5,"2016","Apr","Standard Class","Greg Guthrie","Corporate","United States","Bristol","Tennessee",37620,"South","OFF-BI-10003650","Office Supplies","Binders","GBC DocuBind 300 Electric Binding Machine",157.794
"120",2017-06-12,2017-06-15,3,"2017","Jun","First Class","Steven Cartwright","Consumer","United States","Wilmington","Delaware",19805,"East","FUR-FU-10002157","Furniture","Furnishings","Artistic Insta-Plaque",47.04
"121",2017-06-12,2017-06-15,3,"2017","Jun","First Class","Steven Cartwright","Consumer","United States","Wilmington","Delaware",19805,"East","OFF-BI-10003910","Office Supplies","Binders","DXL Angle-View Binders with Locking Rings by Samsill",30.84
